Vogler, Heiko
Rafea, Ahmed
Maamouri, Mohammed
Granitzer, Michael
Lindberg, David
Gropp, Martin
Slade, Jonathan
Glava&Aring;&iexcl;, Goran
Nagashima, Yuji
Banjade, Rajendra
Poch, Marc
Trabelsi, Amine
Martins, Bruno
Bederson, Benjamin B.
Wilson, Andrew T.
Schaeffer, Moritz
Coster, William
Düwiger, Holger
Lucas, Michael
Gafos, Adamantios I.
Allen, Colin
Kramer, Jared
Berlin, Sebastian
Han, Aydin
Takase, Sho
O'Brien-Strain, Eamonn
Saz, Oscar
Choi, DongHyun
Moreth, Julian
Tanner, Herbert G.
N&uuml;rnberger, Andreas
De Bona, Fabio
Jimeno Yepes, Antonio
Schwarck, Florian
Armstrong, Jackson
Yadav, Kabir
San Vicente, Iñaki
Ito, Akinori
Thaul Lehrman, Michael
Seidman, Shachar
Kashyap, Abhay
Cuayahuitl, Heriberto
Moore, Joshua
Zerrouki, Taha
Bruno, James
Kasch, Niels
N&oslash;rv&aring;g, Kjetil
Schamper, Julian
Sikiri&cacute;, Ivan
Misyurev, Alexey
Katare, Rahul
van der Werff, Laurens
Shirley, Kenneth
Sheth, Amit
Ganesalingam, Mohan
Durrett, Greg
Johannsen, Anders
Ioris, Antonio
Thabet, Ahmed
Bhagwani, Sumit
Fagerlund, Martin
Beller, Charley
Derrick, Douglas
Fern&Atilde;&iexcl;ndez-Mart&Atilde;&shy;nez, Fernando
Badaro, Gilbert
Nitti, Davide
Rudolph, Sebastian
Hasegawa, Takayuki
Sulger, Sebastian
Kratkiewicz, Gary
Scholz, Thomas
Bar, Kfir
Valent&iacute;n, Oriol
Chaib-draa, Brahim
Rector, Alan
Harihara, Ganesh
Og&oacute;rkiewicz, Jerzy
K., Sankar
Patterson, Gary
Rogers, Jim
Platt, John C.
Escudeiro, Nuno
Cromières, Fabien
Blacoe, William
Trotman, Andrew
Tran, Andrew
Lipson, Hod
Hohensee, Matt
Martínez Alonso, Héctor
Wiegand, Karl
Specht, Günther
Goto, Hayato
Hirst, Daniel
Dukes, Kais
Crescenzi, Pierluigi
Ramamoorthy, Subramanian
Anderson, Andrew J.
Henserdon, James
Keim, Daniel A.
Sj&ouml;bergh, Jonas
Wallace, Byron C.
Lipman, Hagay
Salaberri, Haritz
Wheeler, Adam
O’Keefe, Tim
Bersini, Hugues
Shinoda, Koichi
Souza, Bruno
Börschinger, Benjamin
Kretzschmar, Florian
